Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
stay-up-stocking,Stay-Up Stocking,Size,M,Color,Red,,,X975-RD-M,3
stay-up-stocking,Stay-Up Stocking,Size,L,Color,White,,,X975-WT-L,1
stay-up-stocking,Stay-Up Stocking,Size,M,Color,White,,,X975-WT-M,6
the-cuddle-up-booty-boxer,The Cuddle Up Booty Boxer,Size,2XL,Color,Red,,,F261-RD-2X,1
the-cuddle-up-booty-boxer,The Cuddle Up Booty Boxer,Size,XL,Color,Red,,,F261-RD-XL,2
the-cuddle-up-booty-boxer,The Cuddle Up Booty Boxer,Size,L,Color,Red,,,F261-RD-L,1
the-cuddle-up-booty-boxer,The Cuddle Up Booty Boxer,Size,M,Color,Red,,,F261-RD-M,2
the-cuddle-up-booty-boxer,The Cuddle Up Booty Boxer,Size,S,Color,Red,,,F261-RD-S,1
mens-satin-and-lace-garter,Glimmer Satin & Lace Garter,Color,Pink,Size,2XL,,,Z360-PK-2X,2
mens-satin-and-lace-garter,Glimmer Satin & Lace Garter,Color,Pink,Size,XL,,,Z360-PK-XL,2
mens-satin-and-lace-garter,Glimmer Satin & Lace Garter,Color,Pink,Size,L,,,Z360-PK-L,0
mens-satin-and-lace-garter,Glimmer Satin & Lace Garter,Color,Pink,Size,M,,,Z360-PK-M,5
mens-satin-and-lace-garter,Glimmer Satin & Lace Garter,Color,Pink,Size,S,,,Z360-PK-S,3
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,XL,Color,Orange,,,Z922-OR-XL,1
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,XL,Color,Turquoise,,,Z922-TQ-XL,2
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,L,Color,Orange,,,Z922-OR-L,3
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,L,Color,Turquoise,,,Z922-TQ-L,3
funkadelic-womens-tanga,Funkadelic Women's Tanga,Size,M,Color,Orange,,,Z922-OR-M,3
